0, 0.071973, 0.104609, -6.683754, home, -1;
1, 0.366356, 0.066595, -6.634941, none, -1;
2, 0.691088, 0.038157, -5.006087, none, -1;
3, 1.035493, 0.013964, -4.317084, none, -1;
4, 1.376694, -0.007696, -3.960546, none, -1;
5, 1.755963, -0.017658, -3.436908, none, -1;
6, 2.097590, -0.046435, -4.873351, none, -1;
7, 2.438294, -0.073837, -8.221896, none, -1;
8, 2.755209, -0.108808, -7.220746, none, -1;
9, 3.065851, -0.123320, -0.409187, none, -1;
10, 3.365846, -0.129243, -5.192523, none, -1;
11, 3.706178, -0.158099, -4.588292, none, -1;
12, 4.103946, -0.173075, -3.234594, none, -1;
13, 4.518446, -0.189710, -3.139295, none, -1;
14, 5.154754, -0.223922, -3.091411, none, -1;
15, 5.779749, -0.253119, -2.256125, none, -1;
16, 6.104846, -0.275832, -0.911821, none, -1;
17, 6.107813, -0.275836, -0.061821, table 00001, -1;
18, 6.151796, -0.257238, 29.646412, none, -1;
19, 6.166897, -0.233910, 91.128609, none, -1;
20, 6.164438, -0.205655, 126.807434, none, -1;
21, 6.149757, -0.190974, 159.354406, none, -1;
22, 5.795860, -0.162167, 173.589026, none, -1;
23, 5.476764, -0.128917, 175.802458, none, -1;
24, 4.999807, -0.105451, 176.549981, none, -1;
25, 4.637016, -0.083114, 177.069868, none, -1;
26, 4.268711, -0.075126, 176.437952, none, -1;
27, 3.845177, -0.061851, 177.484050, none, -1;
28, 3.486717, -0.064082, 179.421392, none, -1;
29, 3.112450, -0.073989, -179.850697, none, -1;
30, 2.487075, -0.067871, 178.614078, none, -1;
31, 2.100025, -0.060462, 178.752703, none, -1;
32, 1.768021, -0.048319, 177.639109, none, -1;
33, 1.404071, -0.029418, 177.390299, none, -1;
34, 1.074845, -0.023704, -179.279365, none, -1;
35, 0.758016, -0.014092, 173.175007, none, -1;
36, 0.454993, 0.013223, 178.098754, none, -1;
37, 0.340329, 0.008166, -151.181579, none, -1;
38, 0.320812, 0.000728, -118.953454, none, -1;
39, 0.326968, -0.000455, -88.854190, none, -1;
40, 0.322787, -0.000595, -51.971046, none, -1;
41, 0.316922, -0.004947, -18.632418, none, -1;
end
